commit	val_bpb	memory_gb	status	description
bd8a1f1	0.996305	44.0	keep	baseline
2754cb6	0.995475	44.0	keep	MATRIX_LR 0.04 -> 0.05
2689360	0.994936	44.0	keep	MATRIX_LR 0.05 -> 0.06
ac0c79c	0.997557	44.0	discard	MATRIX_LR 0.06 -> 0.08
baaf1ad	0.995223	44.0	discard	EMBEDDING_LR 0.6 -> 0.9
be67925	0.996240	44.0	discard	EMBEDDING_LR 0.6 -> 0.4
4388dff	0.995530	44.0	discard	UNEMBEDDING_LR 0.004 -> 0.008
8a80883	1.026873	66.5	discard	DEPTH 8 -> 10 (85.9M params, too slow per step)
681fde2	0.000000	0.0	crash	DEVICE_BATCH_SIZE 128 -> 256 (OOM)
1b97010	0.991915	43.9	keep	TOTAL_BATCH_SIZE 2**19 -> 2**18 (grad_accum 2 -> 1)
1fa42b8	1.000051	22.2	discard	TOTAL_BATCH_SIZE 2**18 -> 2**17 (batch too small)
99608e4	0.989317	43.9	keep	MATRIX_LR 0.06 -> 0.05 at TBS=2**18
03ae739	0.987270	43.9	keep	MATRIX_LR 0.05 -> 0.04 at TBS=2**18
f9ba84a	0.986483	43.9	keep	MATRIX_LR 0.04 -> 0.03
8f86092	0.986104	43.9	keep	MATRIX_LR 0.03 -> 0.025
3ac4580	0.986916	43.9	discard	MATRIX_LR 0.025 -> 0.02
1a47cee	0.986899	43.9	discard	EMBEDDING_LR 0.6 -> 0.4
dd7595a	0.988577	43.9	discard	WARMDOWN_RATIO 0.5 -> 0.3
266d269	0.985979	43.9	keep	WARMDOWN_RATIO 0.5 -> 0.7
f5eb891	0.987317	43.9	discard	WARMDOWN_RATIO 0.7 -> 0.9
9f68a13	0.987988	43.9	discard	WEIGHT_DECAY 0.2 -> 0.1
522cf99	0.983385	53.9	keep	ASPECT_RATIO 64 -> 80 (dim 640, 70.8M)
d728f93	0.982302	63.9	keep	ASPECT_RATIO 80 -> 96 (dim 768, 94.4M)
0412e89	0.993806	74.0	discard	ASPECT_RATIO 96 -> 112 (dim 896, undertrained)
