Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 9, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 26,214,400
  lm_head                 : 5,242,880
  transformer_matrices    : 44,237,200
  scalars                 : 18
  total                   : 80,937,378
Estimated FLOPs per token: 3.912523e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011348 | lrm: 1.00 | dt: 12228ms | tok/sec: 10,718 | mfu: 0.4% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.180864 | lrm: 1.00 | dt: 120ms | tok/sec: 1,089,637 | mfu: 43.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.793711 | lrm: 1.00 | dt: 123ms | tok/sec: 1,067,708 | mfu: 42.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.428501 | lrm: 1.00 | dt: 123ms | tok/sec: 1,069,568 | mfu: 42.3% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.029877 | lrm: 1.00 | dt: 123ms | tok/sec: 1,062,629 | mfu: 42.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.720862 | lrm: 1.00 | dt: 124ms | tok/sec: 1,058,087 | mfu: 41.8% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.459572 | lrm: 1.00 | dt: 123ms | tok/sec: 1,066,176 | mfu: 42.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.226488 | lrm: 1.00 | dt: 123ms | tok/sec: 1,068,798 | mfu: 42.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.025685 | lrm: 1.00 | dt: 137ms | tok/sec: 953,331 | mfu: 37.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.853884 | lrm: 1.00 | dt: 130ms | tok/sec: 1,010,799 | mfu: 40.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.706391 | lrm: 1.00 | dt: 126ms | tok/sec: 1,037,515 | mfu: 41.0% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.574627 | lrm: 1.00 | dt: 124ms | tok/sec: 1,058,089 | mfu: 41.8% | epoch: 1 | remaining: 300s    
step 00012 (0.0%) | loss: 6.463440 | lrm: 1.00 | dt: 123ms | tok/sec: 1,069,572 | mfu: 42.3% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.366205 | lrm: 1.00 | dt: 124ms | tok/sec: 1,059,788 | mfu: 41.9% | epoch: 1 | remaining: 300s    
step 00014 (0.1%) | loss: 6.278113 | lrm: 1.00 | dt: 124ms | tok/sec: 1,058,348 | mfu: 41.8% | epoch: 1 | remaining: 300s    
step 00015 (0.2%) | loss: 6.204886 | lrm: 1.00 | dt: 128ms | tok/sec: 1,027,483 | mfu: 40.6% | epoch: 1 | remaining: 299s    
step 00016 (0.2%) | loss: 6.141428 | lrm: 1.00 | dt: 130ms | tok/sec: 1,007,520 | mfu: 39.8% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 6.079117 | lrm: 1.00 | dt: 130ms | tok/sec: 1,006,169 | mfu: 39.8% | epoch: 1 | remaining: 299s    
step 00018 (0.3%) | loss: 6.023325 | lrm: 1.00 | dt: 125ms | tok/sec: 1,044,767 | mfu: 41.3% | epoch: 1 | remaining: 299s    
step 00019 (0.3%) | loss: 5.973308 | lrm: 1.00 | dt: 125ms | tok/sec: 1,045,990 | mfu: 41.4% | epoch: 1 | remaining: 299s    
step 00020 (0.4%) | loss: 5.931006 | lrm: 1.00 | dt: 124ms | tok/sec: 1,057,704 | mfu: 41.8% | epoch: 1 | remaining: 299s    
step 00021 (0.4%) | loss: 5.892045 | lrm: 1.00 | dt: 124ms | tok/sec: 1,056,558 | mfu: 41.8% | epoch: 1 | remaining: 299s    
step 00022 (0.5%) | loss: 5.855002 | lrm: 1.00 | dt: 123ms | tok/sec: 1,064,106 | mfu: 42.1% | epoch: 1 | remaining: 298s    
step 00023 (0.5%) | loss: 5.820183 | lrm: 0.99 | dt: 129ms | tok/sec: 1,014,395 | mfu: 40.1% | epoch: 1 | remaining: 298s    
step 00024 (0.5%) | loss: 5.787776 | lrm: 0.99 | dt: 130ms | tok/sec: 1,008,054 | mfu: 39.9% | epoch: 1 | remaining: 298s    
step 00025 (0.6%) | loss: 5.749285 | lrm: 0.99 | dt: 128ms | tok/sec: 1,024,041 | mfu: 40.5% | epoch: 1 | remaining: 298s    
step 00026 (0.6%) | loss: 5.719607 | lrm: 0.99 | dt: 127ms | tok/sec: 1,029,177 | mfu: 40.7% | epoch: 1 | remaining: 298s    
step 00027 (0.7%) | loss: 5.694033 | lrm: 0.99 | dt: 124ms | tok/sec: 1,054,222 | mfu: 41.7% | epoch: 1 | remaining: 298s    
step 00028 (0.7%) | loss: 5.669760 | lrm: 0.99 | dt: 123ms | tok/sec: 1,064,393 | mfu: 42.1% | epoch: 1 | remaining: 298s    
step 00029 (0.8%) | loss: 5.643286 | lrm: 0.99 | dt: 124ms | tok/sec: 1,059,772 | mfu: 41.9% | epoch: 1 | remaining: 298s    
step 00030 (0.8%) | loss: 5.618554 | lrm: 0.99 | dt: 125ms | tok/sec: 1,045,870 | mfu: 41.4% | epoch: 1 | remaining: 297s    
