Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 7, 'n_head': 6, 'n_kv_head': 6, 'n_embd': 768, 'window_pattern': 'SSSSL'}
Parameter counts:
  wte                     : 6,291,456
  value_embeds            : 25,165,824
  lm_head                 : 6,291,456
  transformer_matrices    : 49,545,984
  scalars                 : 14
  total                   : 87,294,734
Estimated FLOPs per token: 4.199593e+08
Scaling AdamW LRs by 1/sqrt(768/768) = 1.000000
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011235 | lrm: 1.00 | dt: 10218ms | tok/sec: 25,654 | mfu: 1.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.824263 | lrm: 1.00 | dt: 233ms | tok/sec: 1,123,916 | mfu: 47.7% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.149163 | lrm: 1.00 | dt: 235ms | tok/sec: 1,115,385 | mfu: 47.3% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.645863 | lrm: 1.00 | dt: 238ms | tok/sec: 1,100,911 | mfu: 46.7% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.290730 | lrm: 1.00 | dt: 251ms | tok/sec: 1,042,413 | mfu: 44.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.011138 | lrm: 1.00 | dt: 249ms | tok/sec: 1,052,480 | mfu: 44.7% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.785216 | lrm: 1.00 | dt: 239ms | tok/sec: 1,097,171 | mfu: 46.6% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.602748 | lrm: 1.00 | dt: 238ms | tok/sec: 1,100,839 | mfu: 46.7% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.454481 | lrm: 1.00 | dt: 251ms | tok/sec: 1,043,013 | mfu: 44.3% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.330118 | lrm: 1.00 | dt: 248ms | tok/sec: 1,054,943 | mfu: 44.8% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.228819 | lrm: 1.00 | dt: 241ms | tok/sec: 1,088,576 | mfu: 46.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.140055 | lrm: 1.00 | dt: 238ms | tok/sec: 1,099,286 | mfu: 46.7% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.058338 | lrm: 1.00 | dt: 248ms | tok/sec: 1,056,924 | mfu: 44.9% | epoch: 1 | remaining: 300s    
step 00013 (0.2%) | loss: 5.992237 | lrm: 1.00 | dt: 246ms | tok/sec: 1,065,057 | mfu: 45.2% | epoch: 1 | remaining: 299s    
step 00014 (0.2%) | loss: 5.933261 | lrm: 1.00 | dt: 244ms | tok/sec: 1,074,589 | mfu: 45.6% | epoch: 1 | remaining: 299s    
step 00015 (0.3%) | loss: 5.879053 | lrm: 1.00 | dt: 241ms | tok/sec: 1,085,887 | mfu: 46.1% | epoch: 1 | remaining: 299s    
step 00016 (0.4%) | loss: 5.828966 | lrm: 1.00 | dt: 246ms | tok/sec: 1,064,429 | mfu: 45.2% | epoch: 1 | remaining: 299s    
step 00017 (0.5%) | loss: 5.779851 | lrm: 1.00 | dt: 246ms | tok/sec: 1,064,874 | mfu: 45.2% | epoch: 1 | remaining: 298s    
step 00018 (0.6%) | loss: 5.737428 | lrm: 1.00 | dt: 245ms | tok/sec: 1,068,164 | mfu: 45.3% | epoch: 1 | remaining: 298s    
step 00019 (0.7%) | loss: 5.696838 | lrm: 1.00 | dt: 243ms | tok/sec: 1,080,883 | mfu: 45.9% | epoch: 1 | remaining: 298s    
step 00020 (0.7%) | loss: 5.658759 | lrm: 1.00 | dt: 245ms | tok/sec: 1,070,553 | mfu: 45.4% | epoch: 1 | remaining: 298s    
step 00021 (0.8%) | loss: 5.621998 | lrm: 1.00 | dt: 246ms | tok/sec: 1,063,938 | mfu: 45.2% | epoch: 1 | remaining: 297s    
step 00022 (0.9%) | loss: 5.588077 | lrm: 1.00 | dt: 247ms | tok/sec: 1,061,290 | mfu: 45.0% | epoch: 1 | remaining: 297s    
step 00023 (1.0%) | loss: 5.555094 | lrm: 1.00 | dt: 241ms | tok/sec: 1,085,973 | mfu: 46.1% | epoch: 1 | remaining: 297s    
step 00024 (1.1%) | loss: 5.525113 | lrm: 1.00 | dt: 245ms | tok/sec: 1,071,365 | mfu: 45.5% | epoch: 1 | remaining: 297s    
step 00025 (1.1%) | loss: 5.494049 | lrm: 1.00 | dt: 246ms | tok/sec: 1,064,131 | mfu: 45.2% | epoch: 1 | remaining: 296s    
step 00026 (1.2%) | loss: 5.463849 | lrm: 1.00 | dt: 247ms | tok/sec: 1,062,622 | mfu: 45.1% | epoch: 1 | remaining: 296s    
step 00027 (1.3%) | loss: 5.433427 | lrm: 1.00 | dt: 244ms | tok/sec: 1,075,946 | mfu: 45.7% | epoch: 1 | remaining: 296s    
step 00028 (1.4%) | loss: 5.405852 | lrm: 1.00 | dt: 245ms | tok/sec: 1,068,112 | mfu: 45.3% | epoch: 1 | remaining: 296s    
step 00029 (1.5%) | loss: 5.380635 | lrm: 1.00 | dt: 244ms | tok/sec: 1,075,102 | mfu: 45.6% | epoch: 1 | remaining: 295s    
step 00030 (1.5%) | loss: 5.350289 | lrm: 1.00 | dt: 246ms | tok/sec: 1,064,836 | mfu: 45.2% | epoch: 1 | remaining: 295s    
