commit	val_bpb	memory_gb	status	description
fea0490	0.995530	44.0	keep	baseline
840a2f8	0.994902	44.0	keep	warmup 0.05
80dafba	1.040149	54.1	discard	aspect ratio 80
e7194c9	0.986749	43.9	keep	batch size 2**18
b6a720c	0.991683	22.2	discard	batch size 2**17
5c27358	1.027962	26.5	discard	depth 6
1838717	0.986966	43.9	discard	matrix lr 0.02
4a5059b	1.008993	33.9	discard	aspect ratio 48
3d3f3f0	1.003295	43.9	discard	gelu activation
0ffc83c	0.993052	43.9	discard	head dim 64
32b6629	0.988229	43.9	discard	window pattern L
78f1697	1.000044	42.8	discard	remove value embeddings
b0d1da1	0.988116	43.9	discard	adam betas (0.9, 0.95)
9430223	0.987360	43.9	discard	adam betas (0.7, 0.95)
78e4a33	0.991133	39.8	discard	mlp expansion 3x
7f7c15e	0.987960	43.9	discard	warmup ratio 0.1
370cd72	0.993192	43.9	discard	warmdown ratio 0.2
0428745	0.987269	43.9	discard	ns_steps 4
a613b81	0.986818	43.9	discard	ns_steps 6
4674cc2	0.987988	43.9	discard	final lr frac 0.1
020dca4	0.989123	43.9	discard	weight decay 0.0
9cbf2d7	0.983699	60.2	keep	depth 9
26478f3	0.984533	66.2	discard	depth 10
d618765	0.984280	48.9	discard	aspect ratio 56
dcdf92b	0.989409	60.2	discard	halve emb lrs
c04ddc9	0.983925	60.2	discard	scalar lr 1.0
40625eb	0.985085	60.2	discard	matrix lr 0.05
fb009d4	0.983223	60.2	keep	embed lr 1.0
ee2f2f1	0.982423	60.2	keep	embed lr 1.2
d032ec7	0.982601	60.2	discard	embed lr 1.4
8520177	0.981671	60.2	keep	unembed lr 0.006
44524aa	0.984008	60.2	discard	unembed lr 0.008
4fc4180	0.982970	60.2	discard	scalar lr 0.2
8f90875	0.982387	60.2	discard	window pattern SLSL
9aba8ce	0.983382	60.2	discard	warmup ratio 0.02
502bbfb	0.982994	60.2	discard	adam betas (0.85, 0.95)
f5aa896	0.983471	60.2	discard	ve_gate_channels 64
1d73399	0.981849	60.2	discard	ve_gate_channels 16
d3963f0	0.985177	58.6	discard	ungated value embeddings
b99f1ce	0.983457	60.2	discard	window pattern SSL
68d5dd6	0.981542	60.2	keep	weight decay 0.1
713eb5b	0.983314	60.2	discard	adam betas (0.75, 0.95)
8650644	0.981437	60.2	keep	aspect ratio 60
a9c4c3a	0.982248	60.2	discard	aspect ratio 58
