Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 33,554,432
  lm_head                 : 4,194,304
  transformer_matrices    : 25,167,872
  scalars                 : 16
  total                   : 67,110,928
Estimated FLOPs per token: 2.390876e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011263 | lrm: 1.00 | dt: 37751ms | tok/sec: 6,944 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.831328 | lrm: 1.00 | dt: 153ms | tok/sec: 1,714,303 | mfu: 41.4% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.291368 | lrm: 1.00 | dt: 159ms | tok/sec: 1,649,439 | mfu: 39.9% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.830608 | lrm: 1.00 | dt: 158ms | tok/sec: 1,656,679 | mfu: 40.0% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.434854 | lrm: 1.00 | dt: 156ms | tok/sec: 1,682,030 | mfu: 40.6% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.135597 | lrm: 1.00 | dt: 156ms | tok/sec: 1,677,616 | mfu: 40.5% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.896554 | lrm: 1.00 | dt: 176ms | tok/sec: 1,490,938 | mfu: 36.0% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.702805 | lrm: 1.00 | dt: 163ms | tok/sec: 1,604,807 | mfu: 38.8% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.543771 | lrm: 1.00 | dt: 157ms | tok/sec: 1,671,025 | mfu: 40.4% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.413353 | lrm: 1.00 | dt: 160ms | tok/sec: 1,633,615 | mfu: 39.5% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.306980 | lrm: 1.00 | dt: 159ms | tok/sec: 1,649,625 | mfu: 39.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.210110 | lrm: 1.00 | dt: 160ms | tok/sec: 1,641,248 | mfu: 39.7% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.121120 | lrm: 1.00 | dt: 169ms | tok/sec: 1,548,564 | mfu: 37.4% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.046440 | lrm: 1.00 | dt: 165ms | tok/sec: 1,590,500 | mfu: 38.4% | epoch: 1 | remaining: 300s    
step 00014 (0.2%) | loss: 5.979799 | lrm: 1.00 | dt: 159ms | tok/sec: 1,653,761 | mfu: 40.0% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.918240 | lrm: 1.00 | dt: 157ms | tok/sec: 1,668,312 | mfu: 40.3% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.862240 | lrm: 1.00 | dt: 159ms | tok/sec: 1,645,384 | mfu: 39.8% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.808806 | lrm: 1.00 | dt: 159ms | tok/sec: 1,647,744 | mfu: 39.8% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.762140 | lrm: 1.00 | dt: 164ms | tok/sec: 1,597,356 | mfu: 38.6% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.716389 | lrm: 1.00 | dt: 165ms | tok/sec: 1,587,779 | mfu: 38.4% | epoch: 1 | remaining: 299s    
step 00020 (0.5%) | loss: 5.672493 | lrm: 1.00 | dt: 164ms | tok/sec: 1,597,846 | mfu: 38.6% | epoch: 1 | remaining: 298s    
step 00021 (0.5%) | loss: 5.630985 | lrm: 1.00 | dt: 157ms | tok/sec: 1,672,197 | mfu: 40.4% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.593782 | lrm: 1.00 | dt: 160ms | tok/sec: 1,638,372 | mfu: 39.6% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 5.557488 | lrm: 1.00 | dt: 159ms | tok/sec: 1,648,742 | mfu: 39.8% | epoch: 1 | remaining: 298s    
step 00024 (0.7%) | loss: 5.523569 | lrm: 1.00 | dt: 164ms | tok/sec: 1,603,155 | mfu: 38.7% | epoch: 1 | remaining: 298s    
step 00025 (0.8%) | loss: 5.490298 | lrm: 1.00 | dt: 165ms | tok/sec: 1,587,565 | mfu: 38.4% | epoch: 1 | remaining: 298s    
step 00026 (0.8%) | loss: 5.459746 | lrm: 1.00 | dt: 163ms | tok/sec: 1,603,644 | mfu: 38.7% | epoch: 1 | remaining: 297s    
step 00027 (0.9%) | loss: 5.424917 | lrm: 1.00 | dt: 160ms | tok/sec: 1,642,866 | mfu: 39.7% | epoch: 1 | remaining: 297s    
step 00028 (0.9%) | loss: 5.392697 | lrm: 1.00 | dt: 161ms | tok/sec: 1,633,145 | mfu: 39.5% | epoch: 1 | remaining: 297s    
step 00029 (1.0%) | loss: 5.361156 | lrm: 1.00 | dt: 159ms | tok/sec: 1,649,385 | mfu: 39.9% | epoch: 1 | remaining: 297s    
step 00030 (1.0%) | loss: 5.325817 | lrm: 1.00 | dt: 160ms | tok/sec: 1,642,498 | mfu: 39.7% | epoch: 1 | remaining: 297s    
step 00031 (1.1%) | loss: 5.294251 | lrm: 1.00 | dt: 162ms | tok/sec: 1,617,292 | mfu: 39.1% | epoch: 1 | remaining: 297s    
step 00032 (1.1%) | loss: 5.263788 | lrm: 1.00 | dt: 162ms | tok/sec: 1,622,100 | mfu: 39.2% | epoch: 1 | remaining: 296s    
step 00033 (1.2%) | loss: 5.233113 | lrm: 1.00 | dt: 162ms | tok/sec: 1,621,751 | mfu: 39.2% | epoch: 1 | remaining: 296s    
step 00034 (1.2%) | loss: 5.202588 | lrm: 1.00 | dt: 161ms | tok/sec: 1,623,868 | mfu: 39.2% | epoch: 1 | remaining: 296s    
step 00035 (1.3%) | loss: 5.171614 | lrm: 1.00 | dt: 165ms | tok/sec: 1,584,374 | mfu: 38.3% | epoch: 1 | remaining: 296s    
step 00036 (1.3%) | loss: 5.140808 | lrm: 1.00 | dt: 162ms | tok/sec: 1,618,051 | mfu: 39.1% | epoch: 1 | remaining: 296s    
step 00037 (1.4%) | loss: 5.110916 | lrm: 1.00 | dt: 160ms | tok/sec: 1,638,921 | mfu: 39.6% | epoch: 1 | remaining: 296s    
step 00038 (1.5%) | loss: 5.080379 | lrm: 1.00 | dt: 163ms | tok/sec: 1,607,172 | mfu: 38.8% | epoch: 1 | remaining: 295s    
step 00039 (1.5%) | loss: 5.051423 | lrm: 1.00 | dt: 162ms | tok/sec: 1,621,466 | mfu: 39.2% | epoch: 1 | remaining: 295s    
step 00040 (1.6%) | loss: 5.024812 | lrm: 1.00 | dt: 161ms | tok/sec: 1,627,794 | mfu: 39.3% | epoch: 1 | remaining: 295s    
step 00041 (1.6%) | loss: 4.994103 | lrm: 1.00 | dt: 160ms | tok/sec: 1,637,308 | mfu: 39.6% | epoch: 1 | remaining: 295s    
step 00042 (1.7%) | loss: 4.967042 | lrm: 1.00 | dt: 162ms | tok/sec: 1,618,907 | mfu: 39.1% | epoch: 1 | remaining: 295s    
step 00043 (1.7%) | loss: 4.936821 | lrm: 1.00 | dt: 159ms | tok/sec: 1,649,118 | mfu: 39.8% | epoch: 1 | remaining: 295s    
step 00044 (1.8%) | loss: 4.909019 | lrm: 1.00 | dt: 164ms | tok/sec: 1,601,824 | mfu: 38.7% | epoch: 1 | remaining: 295s    
step 00045 (1.8%) | loss: 4.882607 | lrm: 1.00 | dt: 163ms | tok/sec: 1,610,173 | mfu: 38.9% | epoch: 1 | remaining: 294s    
step 00046 (1.9%) | loss: 4.853749 | lrm: 1.00 | dt: 160ms | tok/sec: 1,640,315 | mfu: 39.6% | epoch: 1 | remaining: 294s    
step 00047 (1.9%) | loss: 4.824217 | lrm: 1.00 | dt: 159ms | tok/sec: 1,651,927 | mfu: 39.9% | epoch: 1 | remaining: 294s    
step 00048 (2.0%) | loss: 4.796908 | lrm: 1.00 | dt: 161ms | tok/sec: 1,624,115 | mfu: 39.2% | epoch: 1 | remaining: 294s    
step 00049 (2.0%) | loss: 4.766441 | lrm: 1.00 | dt: 161ms | tok/sec: 1,633,103 | mfu: 39.5% | epoch: 1 | remaining: 294s    
step 00050 (2.1%) | loss: 4.742785 | lrm: 1.00 | dt: 162ms | tok/sec: 1,622,375 | mfu: 39.2% | epoch: 1 | remaining: 294s    
step 00051 (2.2%) | loss: 4.714383 | lrm: 1.00 | dt: 160ms | tok/sec: 1,634,747 | mfu: 39.5% | epoch: 1 | remaining: 293s    
step 00052 (2.2%) | loss: 4.689130 | lrm: 1.00 | dt: 160ms | tok/sec: 1,639,618 | mfu: 39.6% | epoch: 1 | remaining: 293s    
step 00053 (2.3%) | loss: 4.662994 | lrm: 1.00 | dt: 160ms | tok/sec: 1,637,588 | mfu: 39.6% | epoch: 1 | remaining: 293s    
step 00054 (2.3%) | loss: 4.633302 | lrm: 1.00 | dt: 163ms | tok/sec: 1,608,853 | mfu: 38.9% | epoch: 1 | remaining: 293s    
step 00055 (2.4%) | loss: 4.608917 | lrm: 1.00 | dt: 163ms | tok/sec: 1,608,778 | mfu: 38.9% | epoch: 1 | remaining: 293s    
step 00056 (2.4%) | loss: 4.585552 | lrm: 1.00 | dt: 160ms | tok/sec: 1,636,574 | mfu: 39.5% | epoch: 1 | remaining: 293s    
step 00057 (2.5%) | loss: 4.561712 | lrm: 1.00 | dt: 162ms | tok/sec: 1,619,062 | mfu: 39.1% | epoch: 1 | remaining: 292s    
step 00058 (2.5%) | loss: 4.538413 | lrm: 1.00 | dt: 161ms | tok/sec: 1,629,038 | mfu: 39.4% | epoch: 1 | remaining: 292s    
step 00059 (2.6%) | loss: 4.515920 | lrm: 1.00 | dt: 158ms | tok/sec: 1,660,128 | mfu: 40.1% | epoch: 1 | remaining: 292s    
step 00060 (2.6%) | loss: 4.494344 | lrm: 1.00 | dt: 161ms | tok/sec: 1,631,001 | mfu: 39.4% | epoch: 1 | remaining: 292s    
step 00061 (2.7%) | loss: 4.469227 | lrm: 1.00 | dt: 158ms | tok/sec: 1,653,990 | mfu: 40.0% | epoch: 1 | remaining: 292s    
step 00062 (2.7%) | loss: 4.445714 | lrm: 1.00 | dt: 163ms | tok/sec: 1,608,905 | mfu: 38.9% | epoch: 1 | remaining: 292s    
step 00063 (2.8%) | loss: 4.422137 | lrm: 1.00 | dt: 160ms | tok/sec: 1,642,464 | mfu: 39.7% | epoch: 1 | remaining: 291s    
step 00064 (2.8%) | loss: 4.399280 | lrm: 1.00 | dt: 160ms | tok/sec: 1,636,226 | mfu: 39.5% | epoch: 1 | remaining: 291s    
step 00065 (2.9%) | loss: 4.375638 | lrm: 1.00 | dt: 159ms | tok/sec: 1,653,823 | mfu: 40.0% | epoch: 1 | remaining: 291s    
step 00066 (3.0%) | loss: 4.357603 | lrm: 1.00 | dt: 163ms | tok/sec: 1,611,990 | mfu: 38.9% | epoch: 1 | remaining: 291s    
step 00067 (3.0%) | loss: 4.338776 | lrm: 1.00 | dt: 161ms | tok/sec: 1,629,698 | mfu: 39.4% | epoch: 1 | remaining: 291s    
step 00068 (3.1%) | loss: 4.316419 | lrm: 1.00 | dt: 164ms | tok/sec: 1,599,659 | mfu: 38.7% | epoch: 1 | remaining: 291s    
