Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 20,971,520
  lm_head                 : 4,194,304
  transformer_matrices    : 39,322,240
  scalars                 : 20
  total                   : 68,682,388
Estimated FLOPs per token: 3.428882e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 12120ms | tok/sec: 21,629 | mfu: 0.7% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.861815 | lrm: 1.00 | dt: 212ms | tok/sec: 1,234,972 | mfu: 42.8% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.451084 | lrm: 1.00 | dt: 217ms | tok/sec: 1,206,622 | mfu: 41.8% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.986901 | lrm: 1.00 | dt: 217ms | tok/sec: 1,208,436 | mfu: 41.9% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.595962 | lrm: 1.00 | dt: 218ms | tok/sec: 1,199,860 | mfu: 41.6% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.270475 | lrm: 1.00 | dt: 242ms | tok/sec: 1,083,699 | mfu: 37.6% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.023153 | lrm: 1.00 | dt: 218ms | tok/sec: 1,202,111 | mfu: 41.7% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.820238 | lrm: 1.00 | dt: 218ms | tok/sec: 1,204,056 | mfu: 41.7% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.648463 | lrm: 1.00 | dt: 215ms | tok/sec: 1,218,012 | mfu: 42.2% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.503807 | lrm: 1.00 | dt: 230ms | tok/sec: 1,138,687 | mfu: 39.5% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.384164 | lrm: 1.00 | dt: 225ms | tok/sec: 1,166,631 | mfu: 40.4% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.278287 | lrm: 1.00 | dt: 218ms | tok/sec: 1,200,446 | mfu: 41.6% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.183837 | lrm: 1.00 | dt: 219ms | tok/sec: 1,198,610 | mfu: 41.5% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.104835 | lrm: 1.00 | dt: 221ms | tok/sec: 1,183,817 | mfu: 41.0% | epoch: 1 | remaining: 299s    
step 00014 (0.2%) | loss: 6.035050 | lrm: 1.00 | dt: 230ms | tok/sec: 1,138,850 | mfu: 39.5% | epoch: 1 | remaining: 299s    
step 00015 (0.3%) | loss: 5.970161 | lrm: 1.00 | dt: 224ms | tok/sec: 1,171,474 | mfu: 40.6% | epoch: 1 | remaining: 299s    
step 00016 (0.4%) | loss: 5.912851 | lrm: 1.00 | dt: 219ms | tok/sec: 1,198,230 | mfu: 41.5% | epoch: 1 | remaining: 299s    
step 00017 (0.4%) | loss: 5.857716 | lrm: 1.00 | dt: 220ms | tok/sec: 1,192,785 | mfu: 41.3% | epoch: 1 | remaining: 298s    
step 00018 (0.5%) | loss: 5.809535 | lrm: 1.00 | dt: 223ms | tok/sec: 1,175,088 | mfu: 40.7% | epoch: 1 | remaining: 298s    
step 00019 (0.6%) | loss: 5.764051 | lrm: 1.00 | dt: 226ms | tok/sec: 1,161,721 | mfu: 40.3% | epoch: 1 | remaining: 298s    
step 00020 (0.7%) | loss: 5.721174 | lrm: 1.00 | dt: 223ms | tok/sec: 1,174,862 | mfu: 40.7% | epoch: 1 | remaining: 298s    
step 00021 (0.7%) | loss: 5.682160 | lrm: 1.00 | dt: 219ms | tok/sec: 1,197,462 | mfu: 41.5% | epoch: 1 | remaining: 298s    
step 00022 (0.8%) | loss: 5.648000 | lrm: 1.00 | dt: 222ms | tok/sec: 1,178,513 | mfu: 40.8% | epoch: 1 | remaining: 297s    
step 00023 (0.9%) | loss: 5.615147 | lrm: 1.00 | dt: 223ms | tok/sec: 1,174,158 | mfu: 40.7% | epoch: 1 | remaining: 297s    
step 00024 (1.0%) | loss: 5.584096 | lrm: 1.00 | dt: 223ms | tok/sec: 1,175,104 | mfu: 40.7% | epoch: 1 | remaining: 297s    
step 00025 (1.0%) | loss: 5.552376 | lrm: 1.00 | dt: 222ms | tok/sec: 1,183,229 | mfu: 41.0% | epoch: 1 | remaining: 297s    
step 00026 (1.1%) | loss: 5.521571 | lrm: 1.00 | dt: 220ms | tok/sec: 1,192,561 | mfu: 41.3% | epoch: 1 | remaining: 296s    
step 00027 (1.2%) | loss: 5.491895 | lrm: 1.00 | dt: 221ms | tok/sec: 1,183,557 | mfu: 41.0% | epoch: 1 | remaining: 296s    
step 00028 (1.3%) | loss: 5.466009 | lrm: 1.00 | dt: 225ms | tok/sec: 1,165,684 | mfu: 40.4% | epoch: 1 | remaining: 296s    
step 00029 (1.3%) | loss: 5.440174 | lrm: 1.00 | dt: 223ms | tok/sec: 1,175,934 | mfu: 40.7% | epoch: 1 | remaining: 296s    
step 00030 (1.4%) | loss: 5.411344 | lrm: 1.00 | dt: 220ms | tok/sec: 1,189,154 | mfu: 41.2% | epoch: 1 | remaining: 296s    
